codepoints,emoji-name,keywords
✋🏿,hand | raised hand | dark skin tone,raised hand: dark skin tone
👌🏻,OK | hand | light skin tone,OK hand: light skin tone
👌🏼,OK | hand | medium-light skin tone,OK hand: medium-light skin tone
👌🏽,OK | hand | medium skin tone,OK hand: medium skin tone
👌🏾,OK | hand | medium-dark skin tone,OK hand: medium-dark skin tone
👌🏿,OK | hand | dark skin tone,OK hand: dark skin tone
👍🏻,+1 | hand | thumb | thumbs up | up | light skin tone,thumbs up: light skin tone
👍🏼,+1 | hand | thumb | thumbs up | up | medium-light skin tone,thumbs up: medium-light skin tone
👍🏽,+1 | hand | thumb | thumbs up | up | medium skin tone,thumbs up: medium skin tone
👍🏾,+1 | hand | thumb | thumbs up | up | medium-dark skin tone,thumbs up: medium-dark skin tone
👍🏿,+1 | hand | thumb | thumbs up | up | dark skin tone,thumbs up: dark skin tone
👎🏻,-1 | down | hand | thumb | thumbs down | light skin tone,thumbs down: light skin tone
👎🏼,-1 | down | hand | thumb | thumbs down | medium-light skin tone,thumbs down: medium-light skin tone
👎🏽,-1 | down | hand | thumb | thumbs down | medium skin tone,thumbs down: medium skin tone
👎🏾,-1 | down | hand | thumb | thumbs down | medium-dark skin tone,thumbs down: medium-dark skin tone
👎🏿,-1 | down | hand | thumb | thumbs down | dark skin tone,thumbs down: dark skin tone
✊🏻,clenched | fist | hand | punch | raised fist | light skin tone,raised fist: light skin tone
✊🏼,clenched | fist | hand | punch | raised fist | medium-light skin tone,raised fist: medium-light skin tone
✊🏽,clenched | fist | hand | punch | raised fist | medium skin tone,raised fist: medium skin tone
✊🏾,clenched | fist | hand | punch | raised fist | medium-dark skin tone,raised fist: medium-dark skin tone
✊🏿,clenched | fist | hand | punch | raised fist | dark skin tone,raised fist: dark skin tone
👊🏻,clenched | fist | hand | oncoming fist | punch | light skin tone,oncoming fist: light skin tone
👊🏼,clenched | fist | hand | oncoming fist | punch | medium-light skin tone,oncoming fist: medium-light skin tone
👊🏽,clenched | fist | hand | oncoming fist | punch | medium skin tone,oncoming fist: medium skin tone
👊🏾,clenched | fist | hand | oncoming fist | punch | medium-dark skin tone,oncoming fist: medium-dark skin tone
👊🏿,clenched | fist | hand | oncoming fist | punch | dark skin tone,oncoming fist: dark skin tone
🤛🏻,fist | left-facing fist | leftwards | light skin tone,left-facing fist: light skin tone
🤛🏼,fist | left-facing fist | leftwards | medium-light skin tone,left-facing fist: medium-light skin tone
🤛🏽,fist | left-facing fist | leftwards | medium skin tone,left-facing fist: medium skin tone
🤛🏾,fist | left-facing fist | leftwards | medium-dark skin tone,left-facing fist: medium-dark skin tone
🤛🏿,fist | left-facing fist | leftwards | dark skin tone,left-facing fist: dark skin tone
🤜🏻,fist | right-facing fist | rightwards | light skin tone,right-facing fist: light skin tone
🤜🏼,fist | right-facing fist | rightwards | medium-light skin tone,right-facing fist: medium-light skin tone
🤜🏽,fist | right-facing fist | rightwards | medium skin tone,right-facing fist: medium skin tone
🤜🏾,fist | right-facing fist | rightwards | medium-dark skin tone,right-facing fist: medium-dark skin tone
🤜🏿,fist | right-facing fist | rightwards | dark skin tone,right-facing fist: dark skin tone
🤚🏻,backhand | raised | raised back of hand | light skin tone,raised back of hand: light skin tone
🤚🏼,backhand | raised | raised back of hand | medium-light skin tone,raised back of hand: medium-light skin tone
🤚🏽,backhand | raised | raised back of hand | medium skin tone,raised back of hand: medium skin tone
🤚🏾,backhand | raised | raised back of hand | medium-dark skin tone,raised back of hand: medium-dark skin tone
🤚🏿,backhand | raised | raised back of hand | dark skin tone,raised back of hand: dark skin tone
👋🏻,hand | wave | waving | light skin tone,waving hand: light skin tone
👋🏼,hand | wave | waving | medium-light skin tone,waving hand: medium-light skin tone
👋🏽,hand | wave | waving | medium skin tone,waving hand: medium skin tone
👋🏾,hand | wave | waving | medium-dark skin tone,waving hand: medium-dark skin tone
👋🏿,hand | wave | waving | dark skin tone,waving hand: dark skin tone
🤟🏻,ILY | hand | love-you gesture | light skin tone,love-you gesture: light skin tone
🤟🏼,ILY | hand | love-you gesture | medium-light skin tone,love-you gesture: medium-light skin tone
🤟🏽,ILY | hand | love-you gesture | medium skin tone,love-you gesture: medium skin tone
🤟🏾,ILY | hand | love-you gesture | medium-dark skin tone,love-you gesture: medium-dark skin tone
🤟🏿,ILY | hand | love-you gesture | dark skin tone,love-you gesture: dark skin tone
✍🏻,hand | write | writing hand | light skin tone,writing hand: light skin tone
✍🏼,hand | write | writing hand | medium-light skin tone,writing hand: medium-light skin tone
✍🏽,hand | write | writing hand | medium skin tone,writing hand: medium skin tone
✍🏾,hand | write | writing hand | medium-dark skin tone,writing hand: medium-dark skin tone
✍🏿,hand | write | writing hand | dark skin tone,writing hand: dark skin tone
👏🏻,clap | clapping hands | hand | light skin tone,clapping hands: light skin tone
👏🏼,clap | clapping hands | hand | medium-light skin tone,clapping hands: medium-light skin tone
👏🏽,clap | clapping hands | hand | medium skin tone,clapping hands: medium skin tone
👏🏾,clap | clapping hands | hand | medium-dark skin tone,clapping hands: medium-dark skin tone
👏🏿,clap | clapping hands | hand | dark skin tone,clapping hands: dark skin tone
👐🏻,hand | open | open hands | light skin tone,open hands: light skin tone
👐🏼,hand | open | open hands | medium-light skin tone,open hands: medium-light skin tone
👐🏽,hand | open | open hands | medium skin tone,open hands: medium skin tone
👐🏾,hand | open | open hands | medium-dark skin tone,open hands: medium-dark skin tone
👐🏿,hand | open | open hands | dark skin tone,open hands: dark skin tone
🙌🏻,celebration | gesture | hand | hooray | raised | raising hands | light skin tone,raising hands: light skin tone
🙌🏼,celebration | gesture | hand | hooray | raised | raising hands | medium-light skin tone,raising hands: medium-light skin tone
🙌🏽,celebration | gesture | hand | hooray | raised | raising hands | medium skin tone,raising hands: medium skin tone
🙌🏾,celebration | gesture | hand | hooray | raised | raising hands | medium-dark skin tone,raising hands: medium-dark skin tone
🙌🏿,celebration | gesture | hand | hooray | raised | raising hands | dark skin tone,raising hands: dark skin tone
🤲🏻,palms up together | prayer | light skin tone,palms up together: light skin tone
🤲🏼,palms up together | prayer | medium-light skin tone,palms up together: medium-light skin tone
🤲🏽,palms up together | prayer | medium skin tone,palms up together: medium skin tone
🤲🏾,palms up together | prayer | medium-dark skin tone,palms up together: medium-dark skin tone
🤲🏿,palms up together | prayer | dark skin tone,palms up together: dark skin tone
🙏🏻,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks | light skin tone,folded hands: light skin tone
🙏🏼,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks | medium-light skin tone,folded hands: medium-light skin tone
🙏🏽,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks | medium skin tone,folded hands: medium skin tone
🙏🏾,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks | medium-dark skin tone,folded hands: medium-dark skin tone
🙏🏿,ask | bow | folded | folded hands | gesture | hand | please | pray | thanks | dark skin tone,folded hands: dark skin tone
💅🏻,care | cosmetics | manicure | nail | polish | light skin tone,nail polish: light skin tone
💅🏼,care | cosmetics | manicure | nail | polish | medium-light skin tone,nail polish: medium-light skin tone
💅🏽,care | cosmetics | manicure | nail | polish | medium skin tone,nail polish: medium skin tone
💅🏾,care | cosmetics | manicure | nail | polish | medium-dark skin tone,nail polish: medium-dark skin tone
💅🏿,care | cosmetics | manicure | nail | polish | dark skin tone,nail polish: dark skin tone
👂🏻,body | ear | light skin tone,ear: light skin tone
👂🏼,body | ear | medium-light skin tone,ear: medium-light skin tone
👂🏽,body | ear | medium skin tone,ear: medium skin tone
👂🏾,body | ear | medium-dark skin tone,ear: medium-dark skin tone
👂🏿,body | ear | dark skin tone,ear: dark skin tone
👃🏻,body | nose | light skin tone,nose: light skin tone
👃🏼,body | nose | medium-light skin tone,nose: medium-light skin tone
👃🏽,body | nose | medium skin tone,nose: medium skin tone
👃🏾,body | nose | medium-dark skin tone,nose: medium-dark skin tone
👃🏿,body | nose | dark skin tone,nose: dark skin tone
#⃣,keycap,keycap: #
*⃣,keycap,keycap: *
🔟,keycap,keycap: 10
🇦🇨,flag,Ascension Island
🇦🇩,flag,Andorra
🇦🇪,flag,United Arab Emirates
🇦🇫,flag,Afghanistan
🇦🇬,flag,Antigua & Barbuda
🇦🇮,flag,Anguilla
🇦🇱,flag,Albania
🇦🇲,flag,Armenia
🇦🇴,flag,Angola
🇦🇶,flag,Antarctica
🇦🇷,flag,Argentina
🇦🇸,flag,American Samoa
🇦🇹,flag,Austria
🇦🇺,flag,Australia
🇦🇼,flag,Aruba
🇦🇽,flag,Åland Islands
🇦🇿,flag,Azerbaijan
🇧🇦,flag,Bosnia & Herzegovina
🇧🇧,flag,Barbados
🇧🇩,flag,Bangladesh
🇧🇪,flag,Belgium
🇧🇫,flag,Burkina Faso
🇧🇬,flag,Bulgaria
🇧🇭,flag,Bahrain
🇧🇮,flag,Burundi
🇧🇯,flag,Benin
🇧🇱,flag,St. Barthélemy
🇧🇲,flag,Bermuda
🇧🇳,flag,Brunei
🇧🇴,flag,Bolivia
🇧🇶,flag,Caribbean Netherlands
🇧🇷,flag,Brazil
🇧🇸,flag,Bahamas
🇧🇹,flag,Bhutan
🇧🇻,flag,Bouvet Island
🇧🇼,flag,Botswana
🇧🇾,flag,Belarus
🇧🇿,flag,Belize
🇨🇦,flag,Canada
🇨🇨,flag,Cocos (Keeling) Islands
🇨🇩,flag,Congo - Kinshasa
🇨🇫,flag,Central African Republic
🇨🇬,flag,Congo - Brazzaville
🇨🇭,flag,Switzerland
🇨🇮,flag,Côte d’Ivoire
🇨🇰,flag,Cook Islands
🇨🇱,flag,Chile
🇨🇲,flag,Cameroon
🇨🇳,flag,China
🇨🇴,flag,Colombia
🇨🇵,flag,Clipperton Island
🇨🇷,flag,Costa Rica
🇨🇺,flag,Cuba
🇨🇻,flag,Cape Verde
🇨🇼,flag,Curaçao
🇨🇽,flag,Christmas Island
🇨🇾,flag,Cyprus
🇨🇿,flag,Czechia
🇩🇪,flag,Germany
🇩🇬,flag,Diego Garcia
🇩🇯,flag,Djibouti
🇩🇰,flag,Denmark
🇩🇲,flag,Dominica
🇩🇴,flag,Dominican Republic
🇩🇿,flag,Algeria
🇪🇦,flag,Ceuta & Melilla
🇪🇨,flag,Ecuador
🇪🇪,flag,Estonia
🇪🇬,flag,Egypt
🇪🇭,flag,Western Sahara
🇪🇷,flag,Eritrea
🇪🇸,flag,Spain
🇪🇹,flag,Ethiopia
🇪🇺,flag,European Union
🇫🇮,flag,Finland
🇫🇯,flag,Fiji
🇫🇰,flag,Falkland Islands
🇫🇲,flag,Micronesia
🇫🇴,flag,Faroe Islands
🇫🇷,flag,France
🇬🇦,flag,Gabon
🇬🇧,flag,United Kingdom
🇬🇩,flag,Grenada
🇬🇪,flag,Georgia
🇬🇫,flag,French Guiana
🇬🇬,flag,Guernsey
🇬🇭,flag,Ghana
🇬🇮,flag,Gibraltar
🇬🇱,flag,Greenland
🇬🇲,flag,Gambia
🇬🇳,flag,Guinea
🇬🇵,flag,Guadeloupe
🇬🇶,flag,Equatorial Guinea
🇬🇷,flag,Greece
🇬🇸,flag,South Georgia & South Sandwich Islands
🇬🇹,flag,Guatemala
🇬🇺,flag,Guam
🇬🇼,flag,Guinea-Bissau
🇬🇾,flag,Guyana
🇭🇰,flag,Hong Kong SAR China
🇭🇲,flag,Heard & McDonald Islands
🇭🇳,flag,Honduras
🇭🇷,flag,Croatia
🇭🇹,flag,Haiti
🇭🇺,flag,Hungary
🇮🇨,flag,Canary Islands
🇮🇩,flag,Indonesia
🇮🇪,flag,Ireland
🇮🇱,flag,Israel
🇮🇲,flag,Isle of Man
🇮🇳,flag,India
🇮🇴,flag,British Indian Ocean Territory
🇮🇶,flag,Iraq
🇮🇷,flag,Iran
🇮🇸,flag,Iceland
🇮🇹,flag,Italy
🇯🇪,flag,Jersey
🇯🇲,flag,Jamaica
🇯🇴,flag,Jordan
🇯🇵,flag,Japan
🇰🇪,flag,Kenya
🇰🇬,flag,Kyrgyzstan
🇰🇭,flag,Cambodia
🇰🇮,flag,Kiribati
🇰🇲,flag,Comoros
🇰🇳,flag,St. Kitts & Nevis
🇰🇵,flag,North Korea
🇰🇷,flag,South Korea
🇰🇼,flag,Kuwait
🇰🇾,flag,Cayman Islands
🇰🇿,flag,Kazakhstan
🇱🇦,flag,Laos
🇱🇧,flag,Lebanon
🇱🇨,flag,St. Lucia
🇱🇮,flag,Liechtenstein
🇱🇰,flag,Sri Lanka
🇱🇷,flag,Liberia
🇱🇸,flag,Lesotho
🇱🇹,flag,Lithuania
🇱🇺,flag,Luxembourg
🇱🇻,flag,Latvia
🇱🇾,flag,Libya
🇲🇦,flag,Morocco
🇲🇨,flag,Monaco
🇲🇩,flag,Moldova
🇲🇪,flag,Montenegro
🇲🇫,flag,St. Martin
🇲🇬,flag,Madagascar
🇲🇭,flag,Marshall Islands
🇲🇰,flag,Macedonia
🇲🇱,flag,Mali
🇲🇲,flag,Myanmar (Burma)
🇲🇳,flag,Mongolia
🇲🇴,flag,Macau SAR China
🇲🇵,flag,Northern Mariana Islands
🇲🇶,flag,Martinique
🇲🇷,flag,Mauritania
🇲🇸,flag,Montserrat
🇲🇹,flag,Malta
🇲🇺,flag,Mauritius
🇲🇻,flag,Maldives
🇲🇼,flag,Malawi
🇲🇽,flag,Mexico
🇲🇾,flag,Malaysia
🇲🇿,flag,Mozambique
🇳🇦,flag,Namibia
🇳🇨,flag,New Caledonia
🇳🇪,flag,Niger
🇳🇫,flag,Norfolk Island
🇳🇬,flag,Nigeria
🇳🇮,flag,Nicaragua
🇳🇱,flag,Netherlands
🇳🇴,flag,Norway
🇳🇵,flag,Nepal
🇳🇷,flag,Nauru
🇳🇺,flag,Niue
🇳🇿,flag,New Zealand
🇴🇲,flag,Oman
🇵🇦,flag,Panama
🇵🇪,flag,Peru
🇵🇫,flag,French Polynesia
🇵🇬,flag,Papua New Guinea
🇵🇭,flag,Philippines
🇵🇰,flag,Pakistan
🇵🇱,flag,Poland
🇵🇲,flag,St. Pierre & Miquelon
🇵🇳,flag,Pitcairn Islands
🇵🇷,flag,Puerto Rico
🇵🇸,flag,Palestinian Territories
🇵🇹,flag,Portugal
🇵🇼,flag,Palau
🇵🇾,flag,Paraguay
🇶🇦,flag,Qatar
🇷🇪,flag,Réunion
🇷🇴,flag,Romania
🇷🇸,flag,Serbia
🇷🇺,flag,Russia
🇷🇼,flag,Rwanda
🇸🇦,flag,Saudi Arabia
🇸🇧,flag,Solomon Islands
🇸🇨,flag,Seychelles
🇸🇩,flag,Sudan
🇸🇪,flag,Sweden
🇸🇬,flag,Singapore
🇸🇭,flag,St. Helena
🇸🇮,flag,Slovenia
🇸🇯,flag,Svalbard & Jan Mayen
🇸🇰,flag,Slovakia
🇸🇱,flag,Sierra Leone
🇸🇲,flag,San Marino
🇸🇳,flag,Senegal
🇸🇴,flag,Somalia
🇸🇷,flag,Suriname
🇸🇸,flag,South Sudan
🇸🇹,flag,São Tomé & Príncipe
🇸🇻,flag,El Salvador
🇸🇽,flag,Sint Maarten
🇸🇾,flag,Syria
🇸🇿,flag,Swaziland
🇹🇦,flag,Tristan da Cunha
🇹🇨,flag,Turks & Caicos Islands
🇹🇩,flag,Chad
🇹🇫,flag,French Southern Territories
🇹🇬,flag,Togo
🇹🇭,flag,Thailand
🇹🇯,flag,Tajikistan
🇹🇰,flag,Tokelau
🇹🇱,flag,Timor-Leste
🇹🇲,flag,Turkmenistan
🇹🇳,flag,Tunisia
🇹🇴,flag,Tonga
🇹🇷,flag,Turkey
🇹🇹,flag,Trinidad & Tobago
🇹🇻,flag,Tuvalu
🇹🇼,flag,Taiwan
🇹🇿,flag,Tanzania
🇺🇦,flag,Ukraine
🇺🇬,flag,Uganda
🇺🇲,flag,U.S. Outlying Islands
🇺🇳,flag,United Nations
🇺🇸,flag,United States
🇺🇾,flag,Uruguay
🇺🇿,flag,Uzbekistan
🇻🇦,flag,Vatican City
🇻🇨,flag,St. Vincent & Grenadines
🇻🇪,flag,Venezuela
🇻🇬,flag,British Virgin Islands
🇻🇮,flag,U.S. Virgin Islands
🇻🇳,flag,Vietnam
🇻🇺,flag,Vanuatu
🇼🇫,flag,Wallis & Futuna
🇼🇸,flag,Samoa
🇽🇰,flag,Kosovo
🇾🇪,flag,Yemen
🇾🇹,flag,Mayotte
🇿🇦,flag,South Africa
🇿🇲,flag,Zambia
🇿🇼,flag,Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag,England
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag,Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag,Wales
0⃣,keycap,keycap: 0
1⃣,keycap,keycap: 1
2⃣,keycap,keycap: 2
3⃣,keycap,keycap: 3
4⃣,keycap,keycap: 4
5⃣,keycap,keycap: 5
6⃣,keycap,keycap: 6
7⃣,keycap,keycap: 7
8⃣,keycap,keycap: 8
9⃣,keycap,keycap: 9
