codepoints,emoji-name,keywords
🙋🏿‍♂,gesture | man | man raising hand | raising hand | dark skin tone,man raising hand: dark skin tone
🙋🏻‍♀,gesture | raising hand | woman | woman raising hand | light skin tone,woman raising hand: light skin tone
🙋🏼‍♀,gesture | raising hand | woman | woman raising hand | medium-light skin tone,woman raising hand: medium-light skin tone
🙋🏽‍♀,gesture | raising hand | woman | woman raising hand | medium skin tone,woman raising hand: medium skin tone
🙋🏾‍♀,gesture | raising hand | woman | woman raising hand | medium-dark skin tone,woman raising hand: medium-dark skin tone
🙋🏿‍♀,gesture | raising hand | woman | woman raising hand | dark skin tone,woman raising hand: dark skin tone
🙇🏻,apology | bow | gesture | person bowing | sorry | light skin tone,person bowing: light skin tone
🙇🏼,apology | bow | gesture | person bowing | sorry | medium-light skin tone,person bowing: medium-light skin tone
🙇🏽,apology | bow | gesture | person bowing | sorry | medium skin tone,person bowing: medium skin tone
🙇🏾,apology | bow | gesture | person bowing | sorry | medium-dark skin tone,person bowing: medium-dark skin tone
🙇🏿,apology | bow | gesture | person bowing | sorry | dark skin tone,person bowing: dark skin tone
🙇🏻‍♂,apology | bowing | favor | gesture | man | sorry | light skin tone,man bowing: light skin tone
🙇🏼‍♂,apology | bowing | favor | gesture | man | sorry | medium-light skin tone,man bowing: medium-light skin tone
🙇🏽‍♂,apology | bowing | favor | gesture | man | sorry | medium skin tone,man bowing: medium skin tone
🙇🏾‍♂,apology | bowing | favor | gesture | man | sorry | medium-dark skin tone,man bowing: medium-dark skin tone
🙇🏿‍♂,apology | bowing | favor | gesture | man | sorry | dark skin tone,man bowing: dark skin tone
🙇🏻‍♀,apology | bowing | favor | gesture | sorry | woman | light skin tone,woman bowing: light skin tone
🙇🏼‍♀,apology | bowing | favor | gesture | sorry | woman | medium-light skin tone,woman bowing: medium-light skin tone
🙇🏽‍♀,apology | bowing | favor | gesture | sorry | woman | medium skin tone,woman bowing: medium skin tone
🙇🏾‍♀,apology | bowing | favor | gesture | sorry | woman | medium-dark skin tone,woman bowing: medium-dark skin tone
🙇🏿‍♀,apology | bowing | favor | gesture | sorry | woman | dark skin tone,woman bowing: dark skin tone
🤦🏻,disbelief | exasperation | face | palm | person facepalming | light skin tone,person facepalming: light skin tone
🤦🏼,disbelief | exasperation | face | palm | person facepalming | medium-light skin tone,person facepalming: medium-light skin tone
🤦🏽,disbelief | exasperation | face | palm | person facepalming | medium skin tone,person facepalming: medium skin tone
🤦🏾,disbelief | exasperation | face | palm | person facepalming | medium-dark skin tone,person facepalming: medium-dark skin tone
🤦🏿,disbelief | exasperation | face | palm | person facepalming | dark skin tone,person facepalming: dark skin tone
🤦🏻‍♂,disbelief | exasperation | facepalm | man | man facepalming | light skin tone,man facepalming: light skin tone
🤦🏼‍♂,disbelief | exasperation | facepalm | man | man facepalming | medium-light skin tone,man facepalming: medium-light skin tone
🤦🏽‍♂,disbelief | exasperation | facepalm | man | man facepalming | medium skin tone,man facepalming: medium skin tone
🤦🏾‍♂,disbelief | exasperation | facepalm | man | man facepalming | medium-dark skin tone,man facepalming: medium-dark skin tone
🤦🏿‍♂,disbelief | exasperation | facepalm | man | man facepalming | dark skin tone,man facepalming: dark skin tone
🤦🏻‍♀,disbelief | exasperation | facepalm | woman | woman facepalming | light skin tone,woman facepalming: light skin tone
🤦🏼‍♀,disbelief | exasperation | facepalm | woman | woman facepalming | medium-light skin tone,woman facepalming: medium-light skin tone
🤦🏽‍♀,disbelief | exasperation | facepalm | woman | woman facepalming | medium skin tone,woman facepalming: medium skin tone
🤦🏾‍♀,disbelief | exasperation | facepalm | woman | woman facepalming | medium-dark skin tone,woman facepalming: medium-dark skin tone
🤦🏿‍♀,disbelief | exasperation | facepalm | woman | woman facepalming | dark skin tone,woman facepalming: dark skin tone
🤷🏻,doubt | ignorance | indifference | person shrugging | shrug | light skin tone,person shrugging: light skin tone
🤷🏼,doubt | ignorance | indifference | person shrugging | shrug | medium-light skin tone,person shrugging: medium-light skin tone
🤷🏽,doubt | ignorance | indifference | person shrugging | shrug | medium skin tone,person shrugging: medium skin tone
🤷🏾,doubt | ignorance | indifference | person shrugging | shrug | medium-dark skin tone,person shrugging: medium-dark skin tone
🤷🏿,doubt | ignorance | indifference | person shrugging | shrug | dark skin tone,person shrugging: dark skin tone
🤷🏻‍♂,doubt | ignorance | indifference | man | man shrugging | shrug | light skin tone,man shrugging: light skin tone
🤷🏼‍♂,doubt | ignorance | indifference | man | man shrugging | shrug | medium-light skin tone,man shrugging: medium-light skin tone
🤷🏽‍♂,doubt | ignorance | indifference | man | man shrugging | shrug | medium skin tone,man shrugging: medium skin tone
🤷🏾‍♂,doubt | ignorance | indifference | man | man shrugging | shrug | medium-dark skin tone,man shrugging: medium-dark skin tone
🤷🏿‍♂,doubt | ignorance | indifference | man | man shrugging | shrug | dark skin tone,man shrugging: dark skin tone
🤷🏻‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging | light skin tone,woman shrugging: light skin tone
🤷🏼‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging | medium-light skin tone,woman shrugging: medium-light skin tone
🤷🏽‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging | medium skin tone,woman shrugging: medium skin tone
🤷🏾‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging | medium-dark skin tone,woman shrugging: medium-dark skin tone
🤷🏿‍♀,doubt | ignorance | indifference | shrug | woman | woman shrugging | dark skin tone,woman shrugging: dark skin tone
💆🏻,face | massage | person getting massage | salon | light skin tone,person getting massage: light skin tone
💆🏼,face | massage | person getting massage | salon | medium-light skin tone,person getting massage: medium-light skin tone
💆🏽,face | massage | person getting massage | salon | medium skin tone,person getting massage: medium skin tone
💆🏾,face | massage | person getting massage | salon | medium-dark skin tone,person getting massage: medium-dark skin tone
💆🏿,face | massage | person getting massage | salon | dark skin tone,person getting massage: dark skin tone
💆🏻‍♂,face | man | man getting massage | massage | light skin tone,man getting massage: light skin tone
💆🏼‍♂,face | man | man getting massage | massage | medium-light skin tone,man getting massage: medium-light skin tone
💆🏽‍♂,face | man | man getting massage | massage | medium skin tone,man getting massage: medium skin tone
💆🏾‍♂,face | man | man getting massage | massage | medium-dark skin tone,man getting massage: medium-dark skin tone
💆🏿‍♂,face | man | man getting massage | massage | dark skin tone,man getting massage: dark skin tone
💆🏻‍♀,face | massage | woman | woman getting massage | light skin tone,woman getting massage: light skin tone
💆🏼‍♀,face | massage | woman | woman getting massage | medium-light skin tone,woman getting massage: medium-light skin tone
💆🏽‍♀,face | massage | woman | woman getting massage | medium skin tone,woman getting massage: medium skin tone
💆🏾‍♀,face | massage | woman | woman getting massage | medium-dark skin tone,woman getting massage: medium-dark skin tone
💆🏿‍♀,face | massage | woman | woman getting massage | dark skin tone,woman getting massage: dark skin tone
💇🏻,barber | beauty | haircut | parlor | person getting haircut | light skin tone,person getting haircut: light skin tone
💇🏼,barber | beauty | haircut | parlor | person getting haircut | medium-light skin tone,person getting haircut: medium-light skin tone
💇🏽,barber | beauty | haircut | parlor | person getting haircut | medium skin tone,person getting haircut: medium skin tone
💇🏾,barber | beauty | haircut | parlor | person getting haircut | medium-dark skin tone,person getting haircut: medium-dark skin tone
💇🏿,barber | beauty | haircut | parlor | person getting haircut | dark skin tone,person getting haircut: dark skin tone
💇🏻‍♂,haircut | man | man getting haircut | light skin tone,man getting haircut: light skin tone
💇🏼‍♂,haircut | man | man getting haircut | medium-light skin tone,man getting haircut: medium-light skin tone
💇🏽‍♂,haircut | man | man getting haircut | medium skin tone,man getting haircut: medium skin tone
💇🏾‍♂,haircut | man | man getting haircut | medium-dark skin tone,man getting haircut: medium-dark skin tone
💇🏿‍♂,haircut | man | man getting haircut | dark skin tone,man getting haircut: dark skin tone
💇🏻‍♀,haircut | woman | woman getting haircut | light skin tone,woman getting haircut: light skin tone
💇🏼‍♀,haircut | woman | woman getting haircut | medium-light skin tone,woman getting haircut: medium-light skin tone
💇🏽‍♀,haircut | woman | woman getting haircut | medium skin tone,woman getting haircut: medium skin tone
💇🏾‍♀,haircut | woman | woman getting haircut | medium-dark skin tone,woman getting haircut: medium-dark skin tone
💇🏿‍♀,haircut | woman | woman getting haircut | dark skin tone,woman getting haircut: dark skin tone
🚶🏻,hike | person walking | walk | walking | light skin tone,person walking: light skin tone
🚶🏼,hike | person walking | walk | walking | medium-light skin tone,person walking: medium-light skin tone
🚶🏽,hike | person walking | walk | walking | medium skin tone,person walking: medium skin tone
🚶🏾,hike | person walking | walk | walking | medium-dark skin tone,person walking: medium-dark skin tone
🚶🏿,hike | person walking | walk | walking | dark skin tone,person walking: dark skin tone
🚶🏻‍♂,hike | man | man walking | walk | light skin tone,man walking: light skin tone
🚶🏼‍♂,hike | man | man walking | walk | medium-light skin tone,man walking: medium-light skin tone
