codepoints,variation,comments
1F3C2 FE0F,emoji style,
1F3C4 FE0E,text style,
1F3C4 FE0F,emoji style,
1F3C6 FE0E,text style,
1F3C6 FE0F,emoji style,
1F3CA FE0E,text style,
1F3CA FE0F,emoji style,
1F3CB FE0E,text style,
1F3CB FE0F,emoji style,
1F3CC FE0E,text style,
1F3CC FE0F,emoji style,
1F3CD FE0E,text style,
1F3CD FE0F,emoji style,
1F3CE FE0E,text style,
1F3CE FE0F,emoji style,
1F3D4 FE0E,text style,
1F3D4 FE0F,emoji style,
1F3D5 FE0E,text style,
1F3D5 FE0F,emoji style,
1F3D6 FE0E,text style,
1F3D6 FE0F,emoji style,
1F3D7 FE0E,text style,
1F3D7 FE0F,emoji style,
1F3D8 FE0E,text style,
1F3D8 FE0F,emoji style,
1F3D9 FE0E,text style,
1F3D9 FE0F,emoji style,
1F3DA FE0E,text style,
1F3DA FE0F,emoji style,
1F3DB FE0E,text style,
1F3DB FE0F,emoji style,
1F3DC FE0E,text style,
1F3DC FE0F,emoji style,
1F3DD FE0E,text style,
1F3DD FE0F,emoji style,
1F3DE FE0E,text style,
1F3DE FE0F,emoji style,
1F3DF FE0E,text style,
1F3DF FE0F,emoji style,
1F3E0 FE0E,text style,
1F3E0 FE0F,emoji style,
1F3ED FE0E,text style,
1F3ED FE0F,emoji style,
1F3F3 FE0E,text style,
1F3F3 FE0F,emoji style,
1F3F5 FE0E,text style,
1F3F5 FE0F,emoji style,
1F3F7 FE0E,text style,
1F3F7 FE0F,emoji style,
1F408 FE0E,text style,
1F408 FE0F,emoji style,
1F415 FE0E,text style,
1F415 FE0F,emoji style,
1F41F FE0E,text style,
1F41F FE0F,emoji style,
1F426 FE0E,text style,
1F426 FE0F,emoji style,
1F43F FE0E,text style,
1F43F FE0F,emoji style,
1F441 FE0E,text style,
1F441 FE0F,emoji style,
1F442 FE0E,text style,
1F442 FE0F,emoji style,
1F446 FE0E,text style,
1F446 FE0F,emoji style,
1F447 FE0E,text style,
1F447 FE0F,emoji style,
1F448 FE0E,text style,
1F448 FE0F,emoji style,
1F449 FE0E,text style,
1F449 FE0F,emoji style,
1F44D FE0E,text style,
1F44D FE0F,emoji style,
1F44E FE0E,text style,
1F44E FE0F,emoji style,
1F453 FE0E,text style,
1F453 FE0F,emoji style,
1F46A FE0E,text style,
1F46A FE0F,emoji style,
1F47D FE0E,text style,
1F47D FE0F,emoji style,
1F4A3 FE0E,text style,
1F4A3 FE0F,emoji style,
1F4B0 FE0E,text style,
1F4B0 FE0F,emoji style,
1F4B3 FE0E,text style,
1F4B3 FE0F,emoji style,
1F4BB FE0E,text style,
1F4BB FE0F,emoji style,
1F4BF FE0E,text style,
1F4BF FE0F,emoji style,
1F4CB FE0E,text style,
1F4CB FE0F,emoji style,
1F4DA FE0E,text style,
1F4DA FE0F,emoji style,
1F4DF FE0E,text style,
1F4DF FE0F,emoji style,
1F4E4 FE0E,text style,
1F4E4 FE0F,emoji style,
1F4E5 FE0E,text style,
1F4E5 FE0F,emoji style,
1F4E6 FE0E,text style,
1F4E6 FE0F,emoji style,
1F4EA FE0E,text style,
1F4EA FE0F,emoji style,
1F4EB FE0E,text style,
1F4EB FE0F,emoji style,
1F4EC FE0E,text style,
1F4EC FE0F,emoji style,
1F4ED FE0E,text style,
1F4ED FE0F,emoji style,
1F4F7 FE0E,text style,
1F4F7 FE0F,emoji style,
1F4F9 FE0E,text style,
1F4F9 FE0F,emoji style,
1F4FA FE0E,text style,
1F4FA FE0F,emoji style,
1F4FB FE0E,text style,
1F4FB FE0F,emoji style,
1F4FD FE0E,text style,
1F4FD FE0F,emoji style,
1F508 FE0E,text style,
1F508 FE0F,emoji style,
1F50D FE0E,text style,
1F50D FE0F,emoji style,
1F512 FE0E,text style,
1F512 FE0F,emoji style,
1F513 FE0E,text style,
1F513 FE0F,emoji style,
1F549 FE0E,text style,
1F549 FE0F,emoji style,
1F54A FE0E,text style,
1F54A FE0F,emoji style,
1F550 FE0E,text style,
1F550 FE0F,emoji style,
1F551 FE0E,text style,
1F551 FE0F,emoji style,
1F552 FE0E,text style,
